First,Last,Grade
Rudi,Burns,71.4
Turin,Larson,80.5
Clover,Saunders,79.1
Cam,Frank,81.9
Sophie,Smets,56.2
Cain,Giese,79.8
Raine,Everhart,81.2
Jaquelyn,Dwerryhouse,76
Edmund,Clark,67.8
Eric,Herrera,72
Patsy,Jennings,77.5
Kelly,Sutton,75.7
Lynette,Tyler,67.1
Corey,Holt,79.1
Robyn,Brown,85.5
Emilio,Banks,73.5
Marilyn,Gregory,63.1
Cecil,Lindsey,80.2
Angelina,Strickland,77.8
Pauline,Gray,79.6
Claire,Elliott,81.5
Ira,Cain,86.5
Lauren,Barnes,63.1
Kristine,Harrington,58.5
Lorene,Francis,61
Chelsea,May,73.1
Jerald,Flores,72.6
Freda,Copeland,73.6
Lauren,Delgado,85.1
Jessie,Erickson,62.6
Lila,Cummings,68.2
Cody,Hopkins,70.6
Virgil,Gibson,66.5
Danielle,Hubbard,84.2
Sophia,Chandler,82.3
Brandi,Fox,60.2
Kathy,Saunders,73.5
Jody,Curtis,82.8
